titulo,autor,origen
usos sociales en educación literaria,antonio martín ezpeleta,bidi
metodologias emergentes para la innovación en la práctica docente,maría elena parra gonzález,bidi
contextos y procesos en investigación educativa,francisco javier hinojo lucena,bidi
sociedad 50 ante la pandemia investigación e innovación educativa,inmaculada aznar díaz,bidi
investigación aplicada en ciencias de la educación,josé maría romero rodríguez,bidi
innovación docente nuevos planteamientos,luisa torres barzabal,bidi
investigación en la escritura,rosario arroyo gonzález,bidi
formación del profesorado para la incorporación de las tic en alumnado con diversidad funcional,josé maría fernández batanero,bidi
innovación e investigación educativa en la era digital,francisco javier  hinojo lucena,bidi
tecnologías y tendencias didácticas emergentes en escenarios educativos,eloy lópez meneses,bidi
competencias docentes en tic y discapacidad en el contexto español e internacional,josé maría fernández batanero,bidi
nuevos horizontes en educación innovaciones y experiencias,josé maría fernández batanero,bidi
innovación docente,luisa torres barzabal,bidi
de la teoría a la práctica en el compromiso cívico,juan luis fuentes gómez-calcerrada,bidi
tic y discapacidad investigación e inovación educativa,josé maría fernández batanero,bidi
el culto pedagógico,josé sánchez tortosa,bidi
despertar del sueño tecnológico,ekaitz cancela,bidi
pack adorno i música,theodor w. adorno,bidi
pack adorno ii filosofía,theodor w. adorno,bidi
pack adorno iii escritos sociológicos,theodor w. adorno,bidi
pack adorno iv cultura y sociedad,theodore w. adorno,bidi
el fin de la educación,xavier massó aguadé,bidi
educación para la ciudadanía,carlos fernández liria,bidi
prácticas artísticas e internet en la época de las redes sociales,juan martín prada,bidi
enfoques y metodologías en las ciencias sociales,donatella della porta,bidi
la trampa de la diversidad,daniel bernabé,bidi
crítica de la cultura y sociedad i,theodore w. adorno,bidi
crítica de la cultura y sociedad ii,theodor w. adorno,bidi
escritos sociológicos i,theodor w. adorno,bidi
escritos sociológicos ii vol 1,theodor w. adorno,bidi
escritos sociológicos ii vol 2,theodor w.  adorno,bidi
sartre en 90 minutos,paul strathern,bidi
kierkegaard en 90 minutos,paul strathern,bidi
platón en 90 minutos,paul strathern,bidi
locke en 90 minutos,paul strathern,bidi
turing y el ordenador,paul strathern,bidi
foucault en 90 minutos,paul strathern,bidi
wittgenstein en 90 minutos,paul strathern,bidi
curie y la radiactividad,paul strathern,bidi
identidades en juego,maría zozaya,bidi
las tradiciones que no aman a las mujeres,m.ª teresa gómez-limón amador,bidi
la utopía del oprimido,ramiro ávila santamaría,bidi
teoría crítica del derecho desde américa latina,antonio carlos wolkmer,bidi
la cárcel del feminismo,sirin adlbi sibai,bidi
demodiversidad,boaventura da sousa,bidi
el desorden digital,anaclet pons pons,bidi
la educación de las mujeres y otros ensayos,pierre-ambroise choderlos de laclos,bidi
derrida en 90 minutos,paul strathern,bidi
hegel en 90 minutos,paul strathern,bidi
nietzsche en 90 minutos,paul strathern,bidi
sócrates en 90 minutos,paul strathern,bidi
desafíos jurídicos ante la integración digital aspectos europeos e internacionales,josé juan castelló pastor,bidi
tendencias actuales en economía circular instrumentos financieros y tributarios,gemma patón garcía,bidi
el gatopardo educativo,miguel marrtín sánchez,bidi
transferencia del conocimiento e investigación educativa,eduardo salvador vila merino,bidi
bienvenidos a la universidad,francisco esteban bara,bidi
formación del profesorado para atender urgencias y emergencias en el entorno educativo,adnaloy pardo rojas,bidi
estudios del léxico en el ámbito universitario del siglo xxi,maría águeda moreno moreno,bidi
reinventando a paulo freire en el siglo xxi,moacir gadotti,bidi
escenarios inclusivos en respuesta a la diversidad,josé juan carrión martínez,bidi
temas actuales en psicoanálisis contemporáneo,alejandro ávila espada,bidi
inclusión educativa desde la universidad,yessica martínez soto,bidi
la educación personalizada del estudiante,valentín martínez-otero pérez,bidi
tecnología y neuroeducación desde un enfoque inclusivo,alejandro quintas hijós,bidi
género y tic,maría paz prendes espinosa,bidi
inclusión educativa y tecnologías para el aprendizaje,alejandro quintas hijós,bidi
docentes hiperdiscursivos,aina monferrer palmer,bidi
pedagogía y cambios culturales en el siglo xxi,laura monsalve lorente,bidi
¿qué estamos haciendo mal en la educación?,agustín de la herrán gascón,bidi
políticas educativas en un mundo global,carmen rodríguez martínez,bidi
hacia la inclusión educativa en la universidad,coral elizondo carmona,bidi
la orientación universitaria,maría isabel amor almedina,bidi
de las aulas a los espacios globales para el aprendizaje,mercè gisbert cervera,bidi
el profesorado frente a la pandemia,alberto gárate rivera,bidi
"tiempos, educación y ocio en una sociedad de redes",josé antonio caride gómez,bidi
el aprendizaje-servicio y la educación universitaria,miguel ángel santos rego,bidi
metodologías docentes ¿otro modelo de universidad pública es posible?,rosa díaz giménez,bidi
aprendizaje-servicio universitario,óscar chiva-bartoll,bidi
¿cómo abordar la educación del futuro?,mercè gisbert cervera,bidi
violencias de género en entornos virtuales,trinidad donoso vázquez,bidi
"investigación en metodologías virtuales, redes sociales y comunicación",césar bernal bravo,bidi
experiencias en innovación docente y aportes de investigación sobre la praxis universitaria,josé gómez catalán,bidi
"educación, derechos humanos y responsabilidad social",víctor martín solbes,bidi
neurociencia para educadores,david bueno i torrens,bidi
análisis de pedagogías digitales,sonia santoveña-casal,bidi
nuevo aprendizaje,mary kalantzis,bidi
innovación educativa tendencias globales de investigación e implicaciones prácticas,maría soledad ramírez montoya,bidi
los mooc y la educación superior,josé gómez galán,bidi
pedagogías emergentes,anna forés miravalles,bidi
aprendizaje-servicio  claves para su desarrollo en la universidad,laura rubio serrano,bidi
la universidad en clave de género,ángeles rebollo catalán,bidi
diversidad funcional y tecnologías de la información y la comunicación,josé maría fernández batanero,bidi
las redes sutiles de la educación,mercè traveset vilaginés,bidi
innovación docente universitaria en educación infantil,noemí serrano díaz,bidi
la docencia universitaria mediante el enfoque del aula invertida,jose luis medina moya,bidi
74 experiencias docentes del grado en derecho,max turull rubinat,bidi
pedagogía red,begoña gros salvat,bidi
los sistemas educativos,daniel tröhler,bidi
los lenguajes de la educación,daniel tröhler,bidi
la semipresencialidad como respuesta a los nuevos retos de la universidad,joan simon pallisé,bidi
pedagogías del siglo xxi,jaume carbonell sebarroja,bidi
los estudiantes de la universidad actual,lidia daza pérez,bidi
"cine, deporte y género",trinidad núñez domínguez,bidi
el lugar del pensamiento en la educación,manuela gómez pérez,bidi
evaluación por competencias la perspectiva de las primeras promociones de graduados en el eees,elena cano garcía,bidi
realidad aumentada y educación,julio barroso osuna,bidi
tensiones fructíferas explorando el saber pedagógico en la formación del profesorado,josé contreras domingo,bidi
normas para la presentación de informes finales de investigación y artículos científicos,carmelina paba barbosa,bidi
"emociones, inteligencias múltiples y rendimiento académico en universitarios",carmelina paba barbosa,bidi
antropología forense y violaciones al derecho internacional humanitario,edixon quiñones reyes,bidi
tecnologías educativas para la inclusión,matilde bolaño garcía,bidi
economía para todos,robert marcuse,bidi
las 50 herramientas de recursos humanos que todo profesional debe conocer,martha alles,bidi
coaching y liderazgo de equipos,peter hawkins,bidi
el trabajo en la posmodernidad,pablo maison,bidi
desarrollo y coaching de mujeres líderes,fabiana gadow,bidi
administración en una página,riaz khadem,bidi
mujeres y negocios,andrea linardi,bidi
la lógica contable,santiago lazzati,bidi
gestión de la complejidad en las organizaciones,jorge etkin,bidi
subalternidad y representación,john beverley,bidi
el salto de minerva,mabel moraña,bidi
discursos sobre a pobreza,martin lienhard,bidi
entre hombres masculinidades del siglo xix en américa latina,ana peluffo,bidi
"expulsados, desterrados, desplazados",martin lienhard,bidi
discursos coloniales texto y poder en la américa hispana,pilar latasa,bidi
imágenes de la tecnología y la globalización en las narrativas,jesús montoya juárez,bidi
movilizando etnicidad,eric javier bejarano,bidi
dinámicas de inclusión y exclusión en américa latina,barbara potthast,bidi
"sujeto, decolonización, transmodernidad",mabel moraña,bidi
teoría de la educación,david a. turner,bidi
teoría y práctica de la educación,david a. turner,bidi
educar a través de la virtualidad en tiempos de contigencia,leticia rodriguez segura,bidi
qué es  la estadística,walter sosa escudero,bidi
"derecho, moral y política",carlos nino,bidi
desculturalizar la cultura,víctor vich,bidi
"punteros, malandras y porongas",jorge ossona,bidi
¿quién controla el futuro de la educación?,axel rivas,bidi
psicología y pedagogía,jean piaget,bidi
manual de escritura para científicos sociales,howard becker,bidi
género y feminismo,marcela lagarde y de los ríos,bidi
mitomanías de las educación argentina,alejandro grimson,bidi
intervenciones políticas un sociólogo en la barricada,pierre bourdieu,bidi
juicio al mal absoluto,carlos nino,bidi
sobre el castigo,antony duff,bidi
el origen de la hermenéutica de sí,michel foucault,bidi
extractivismo versus derechos humanos,césar rodríguez garavito,bidi
por un medio ambiente sano que promueva los derechos humanos en el sur global,césar rodríguez garavito,bidi
empresas y derechos humanos en el siglo xxi,césar rodríguez garavito,bidi
razones para la esperanza,kathryn sikkink,bidi
crítica  de la universidad pública,eduardo míguez,bidi
¿cómo pensar la desigualdad desde los derechos humanos?,césar rodríguez garavito,bidi
la educación invisible,josé manuel marrasé,bidi
el aprendizaje experiencial como metodología docente,verónica vaena graciá,bidi
generación z la generación con derechos,ernest j. zarra iii,bidi
el paradigma de la educación continua,emilio lópez-barajas zayas,bidi
evaluación de habilidades y competencias en educación superior,sally brown,bidi
el aprendizaje basado en problemas,ángela del valle,bidi
potenciar la capacidad de aprender a pensar,antonio ontoria,bidi
docentes competentes,josé manuel mañú,bidi
evaluación formativa y compartida en educación superior,víctor m. lópez pastor,bidi
evaluación trans-formativa,w. james popham,bidi
e-evaluación orientada al e-aprendizaje estratégico en educación superior,mª soledad ibarra sáiz,bidi
la teoría del curriculum,william f. pinar,bidi
competencias genéricas en educación superior,lourdes villardón-gallego,bidi
el feedback en educación superior y profesional,david boud,bidi
claves para la educación,lorenzo garcía,bidi
competencias cognitivas en educación superior,mª luisa sanz de acedo lizarraga,bidi
creatividad y aprendizaje,natalia bernabeu,bidi
desarrollo profesional docente,carlos marcelo,bidi
desarrollo y evaluación de competencias en educación superior,ascensión blanco,bidi
didáctica universitaria en entornos virtuales de enseñanza-aprendizaje,guillermo bautista,bidi
dispositivos digitales móviles en educación,esteban vázquez-cano,bidi
educación para la inclusión o educación sin exclusiones,gerardo echeita,bidi
motivar y animar equipos en trabajo social,françois charleux,bidi
los proyectos de aprendizaje,mercedes blanchard,bidi
el aprendizaje-servicio en educación superior,susan j. deeley,bidi
aprendizaje integrado,daniel blackshields,bidi
cómo trabajar en equipo a través de competencias,ángel josé olaz capitán,bidi
las instituciones educativas y su cultura,ignacio escalera,bidi
la evaluación como aprendizaje,miguel ángel santos guerra,bidi
grafología pedagógica,sandra cerro jiménez,bidi
